,CalendarYear,CalendarPeriod,CalendarWeek,ServiceGroup,ProductGroup,OpJourneys,OpMiles
335,2016,2016/P06,2016/W23,East Suburban,Off-Peak,74189,1505636
336,2016,2016/P06,2016/W23,eXpress,Off-Peak,30942,1021257
337,2016,2016/P06,2016/W23,Inter7City,Off-Peak,79000,5346256
338,2016,2016/P06,2016/W23,Scenic,Off-Peak,35116,1513858
339,2016,2016/P06,2016/W23,West Suburban,Off-Peak,513326,6044806
340,2016,2016/P06,2016/W23,East Suburban,Peak,68209,1343021
341,2016,2016/P06,2016/W23,eXpress,Peak,21500,647426
342,2016,2016/P06,2016/W23,Inter7City,Peak,61180,3353533
343,2016,2016/P06,2016/W23,Scenic,Peak,24333,866022
344,2016,2016/P06,2016/W23,West Suburban,Peak,280638,3848602
345,2016,2016/P06,2016/W24,East Suburban,Commuter,63806,1096208
346,2016,2016/P06,2016/W24,eXpress,Commuter,22824,562615
347,2016,2016/P06,2016/W24,Inter7City,Commuter,23715,624165
348,2016,2016/P06,2016/W24,Scenic,Commuter,9154,171826
349,2016,2016/P06,2016/W24,West Suburban,Commuter,277187,3143720
350,2016,2016/P06,2016/W24,East Suburban,Off-Peak,68379,1399684
351,2016,2016/P06,2016/W24,eXpress,Off-Peak,29176,958186
352,2016,2016/P06,2016/W24,Inter7City,Off-Peak,76429,5188256
353,2016,2016/P06,2016/W24,Scenic,Off-Peak,34196,1460023
354,2016,2016/P06,2016/W24,West Suburban,Off-Peak,475854,5535749
355,2016,2016/P06,2016/W24,East Suburban,Peak,66938,1322757
356,2016,2016/P06,2016/W24,eXpress,Peak,21081,635895
357,2016,2016/P06,2016/W24,Inter7City,Peak,58980,3290918
358,2016,2016/P06,2016/W24,Scenic,Peak,24798,891195
359,2016,2016/P06,2016/W24,West Suburban,Peak,271202,3762323
360,2016,2016/P06,2016/W25,East Suburban,Commuter,54614,955710
361,2016,2016/P06,2016/W25,eXpress,Commuter,21155,532024
362,2016,2016/P06,2016/W25,Inter7City,Commuter,19313,519599
363,2016,2016/P06,2016/W25,Scenic,Commuter,6810,129946
364,2016,2016/P06,2016/W25,West Suburban,Commuter,259833,2963045
