,dt,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,currency,amount,unit,operating_carrier,booking_type,iso_country_origin,CO2_emissions,CO2_per_flight,CO2_emissions_per_passenger
114,05/02/2022,MUC,EDI,MUC-EDI,1,0,ECONOMY,return,06/02/2022,06/07/2022,EUR,22900,CENTI,-32089,REDIRECT,Germany,9754.263292,,52.72574752
115,05/03/2021,CTU,EDI,CTU-EDI,1,0,ECONOMY,oneway,26/08/2021,,CNY,657300,CENTI,-32690,REDIRECT,China,137306.4308,137306.4308,426.417487
116,05/02/2022,BFS,EDI,BFS-EDI,1,0,ECONOMY,return,14/10/2022,16/10/2022,GBP,7500,CENTI,-32356,REDIRECT,UK,1588.442818,,11.18621703
117,05/02/2022,BFS,EDI,BFS-EDI,1,0,ECONOMY,return,14/10/2022,16/10/2022,GBP,7500,CENTI,-32356,DIRECT_BOOKING,UK,1588.442818,,11.18621703
118,05/02/2022,BFS,EDI,BFS-EDI,1,0,ECONOMY,oneway,24/05/2022,,GBP,5200,CENTI,-32356,REDIRECT,UK,1588.442818,,11.18621703
119,05/02/2022,BFS,EDI,BFS-EDI,1,0,ECONOMY,oneway,24/05/2022,,GBP,5200,CENTI,-32356,DIRECT_BOOKING,UK,1588.442818,,11.18621703
120,05/02/2022,IST,EDI,IST-EDI,1,0,ECONOMY,return,13/05/2022,17/05/2022,AUD,49600,CENTI,-31734,REDIRECT,Turkey,20754.27045,,112.1852457
121,05/02/2022,BRS,EDI,BRS-EDI,1,0,ECONOMY,return,27/05/2022,29/05/2022,GBP,14000,CENTI,-32356,REDIRECT,UK,3515.449601,,24.75668733
122,05/02/2022,BRS,EDI,BRS-EDI,1,0,ECONOMY,return,24/06/2022,26/06/2022,GBP,13700,CENTI,-32356,REDIRECT,UK,3515.449601,,24.75668733
123,05/02/2022,BRS,EDI,BRS-EDI,5,0,ECONOMY,return,06/07/2022,06/11/2022,GBP,33600,CENTI,-32356,REDIRECT,UK,3515.449601,,24.75668733
124,05/02/2022,BRS,EDI,BRS-EDI,2,0,ECONOMY,return,06/07/2022,06/11/2022,AUD,23500,CENTI,-32356,REDIRECT,UK,3515.449601,,24.75668733
125,05/02/2022,BRS,EDI,BRS-EDI,1,0,ECONOMY,return,06/07/2022,06/11/2022,AUD,11400,CENTI,-32356,REDIRECT,UK,3515.449601,,24.75668733
126,05/02/2022,BRS,EDI,BRS-EDI,1,0,ECONOMY,return,19/05/2022,20/05/2022,GBP,6400,CENTI,-32356,REDIRECT,UK,3515.449601,,24.75668733
127,05/02/2022,BRS,EDI,BRS-EDI,1,0,ECONOMY,oneway,05/10/2022,,CNY,26200,CENTI,-32356,REDIRECT,UK,3515.449601,,24.75668733
128,05/02/2022,BHX,EDI,BHX-EDI,1,0,ECONOMY,return,16/09/2022,18/09/2022,GBP,7600,CENTI,-32302,REDIRECT,UK,2778.433951,,19.56643628
129,05/02/2022,BHX,EDI,BHX-EDI,1,0,ECONOMY,return,16/09/2022,18/09/2022,GBP,7600,CENTI,-32302,DIRECT_BOOKING,UK,2778.433951,,19.56643628
